¿Cuántos centímetros hay en un metro?	100	¿Qué gas llena la mayoría de los globos de helio?	Helio	¿En qué año llegó el hombre a la Luna?	1969	¿Cuál es el ave más grande del mundo?	Avestruz	¿Qué metal es líquido a temperatura ambiente?	Mercurio	¿Cuál es el órgano más grande del cuerpo humano?	Piel	¿Debe existir el dinero en el futuro?	Depende
¿Cuántos lados tiene un dodecágono?	Doce	¿Cuál es la montaña más alta del mundo?	Everest	¿Cuántos colores hay en el arcoíris?	Siete	¿Quién inventó la bombilla eléctrica?	Edison	¿Cuántos años dura un lustro?	Cinco	¿Qué planeta es el más cercano al Sol?	Mercurio	¿Es posible viajar en el tiempo?	Teóricamente
¿Cuántos huesos tiene el cuerpo humano adulto?	206	¿Quién formuló las leyes del movimiento?	Newton	¿En qué estado de la materia está el agua a 100°C?	Gaseoso	¿Cuál es el idioma oficial de Brasil?	Portugués	¿Qué tipo de animal es un delfín?	Mamífero	¿Cuál es la capital de Alemania?	Berlín	¿Es la inteligencia artificial una amenaza?	Depende
¿Cuántas patas tiene un cangrejo?	Diez	¿Qué animal puede regenerar su corazón?	Axolote	¿Qué color tiene la sangre cuando no hay oxígeno?	Azul oscuro	¿Quién escribió "Orgullo y prejuicio"?	Jane Austen	¿Cuántos huesos tiene el cráneo humano?	22	¿Cuántos segundos tiene un minuto?	60	¿Debe colonizarse Marte?	Tal vez
¿Qué gas hace que los globos floten?	Helio	¿Cuántos lados tiene un octágono?	Ocho	¿Cuál es el metal más caro del mundo?	Rodio	¿Qué energía es limpia y renovable?	Solar	¿Qué animal tiene la lengua más larga en proporción a su cuerpo?	Camaleón	¿Qué significa "E=mc²"?	Energía=masa×velocidad²	¿Es posible crear una máquina del tiempo?	Tal vez
¿Cuál es la lengua más hablada del mundo?	Inglés	¿Cuántos ojos tiene una araña?	Ocho	¿Qué país tiene la mayor cantidad de islas?	Suecia	¿Cuál es el animal con el mejor sentido del olfato?	Tiburón	¿Quién escribió "La Odisea"?	Homero	¿Qué elemento químico tiene símbolo "Fe"?	Hierro	¿Es mejor la felicidad o el conocimiento?	Depende
¿Cuánto dura un día en Júpiter?	10 horas	¿Qué animal nunca duerme?	Medusa	¿Qué ciudad tiene la Torre Eiffel?	París	¿Cuál es el océano más frío del mundo?	Ártico	¿Qué mamífero puede volar?	Murciélago	¿Cuál es la moneda de Reino Unido?	Libra esterlina	¿La conciencia es solo un producto del cerebro?	Tal vez
¿Qué animal puede cambiar de color?	Camaleón	¿Qué deporte se juega en Wimbledon?	Tenis	¿Cuántos anillos tiene el logo de los Juegos Olímpicos?	Cinco	¿Qué significa "www" en las direcciones web?	World Wide Web	¿Cuál es el gas más abundante en el Sol?	Hidrógeno	¿Cuántas extremidades tiene un cangrejo?	Diez	¿Debe existir el dinero en el futuro?	Depende
¿Cuál es la capital de Australia?	Canberra	¿Cuántos lados tiene un hexágono?	Seis	¿Cuál es el idioma oficial de China?	Mandarín	¿Qué pez es famoso por su capacidad eléctrica?	Anguila eléctrica	¿Cuántos dientes tiene un tiburón blanco?	Más de 300	¿Cuál es el río más largo del mundo?	Amazonas	¿Puede haber vida sin oxígeno?	Sí (anaerobia)
¿Cuál es el hueso más largo del cuerpo humano?	Fémur	¿Qué gas exhalamos al respirar?	Dióxido de carbono	¿En qué continente está Egipto?	África	¿Cuál es la velocidad del sonido en el aire?	343 m/s	¿Quién pintó "La Noche Estrellada"?	Van Gogh	¿Cuál es la montaña más alta del mundo?	Everest	¿Es la moral objetiva o subjetiva?	Subjetiva
¿Qué animal tiene los ojos más grandes en proporción a su cuerpo?	Calamar gigante	¿Cuántos planetas hay en el sistema solar?	Ocho	¿Cuál es el metal más denso?	Osmio	¿Qué famoso físico desarrolló la teoría de la relatividad?	Einstein	¿Cuántos corazones tiene una lombriz de tierra?	Cinco	¿Qué país tiene la selva amazónica?	Brasil	¿Debe la humanidad colonizar otros planetas?	Sí
¿Cuántos huesos tiene el cuerpo humano adulto?	206	¿Qué gas hace que los refrescos tengan burbujas?	Dióxido de carbono	¿Quién escribió "1984"?	George Orwell	¿Qué significa "H2O"?	Agua	¿Cuál es el metal que se encuentra en estado líquido a temperatura ambiente?	Mercurio	¿Cuál es la capital de Rusia?	Moscú	¿Es posible una inteligencia artificial consciente?	Tal vez
¿Qué mamífero pone huevos?	Ornitorrinco	¿Qué animal es conocido por su memoria excepcional?	Elefante	¿Cuántas patas tiene una araña?	Ocho	¿Qué científico formuló las leyes del movimiento?	Newton	¿Qué planeta tiene los vientos más rápidos del sistema solar?	Neptuno	¿Cuál es el órgano más grande del cuerpo humano?	Piel	¿Debe haber límites en la investigación científica?	Depende
¿Cuál es el país más pequeño del mundo?	Vaticano	¿Cuántos lados tiene un dodecágono?	Doce	¿Qué gas necesitamos para vivir?	Oxígeno	¿Qué estrella está más cerca de la Tierra?	Sol	¿Qué sustancia da el color verde a las plantas?	Clorofila	¿Cuál es la capa más externa de la Tierra?	Corteza	¿Es el tiempo una ilusión?	Depende
¿Cuántos dientes tiene un adulto?	32	¿Qué órgano bombea la sangre en el cuerpo?	Corazón	¿Qué planeta tiene un gran punto rojo?	Júpiter	¿Cuántos lados tiene un decágono?	Diez	¿Cuál es la capital de Rusia?	Moscú	¿Quién pintó "La joven de la perla"?	Vermeer	¿Puede existir la vida sin agua?	No
¿Cuántos días tiene un año bisiesto?	366	¿Qué sustancia le da color a la piel?	Melanina	¿Cuál es la estrella más cercana a la Tierra?	Sol	¿Qué animal es el símbolo de Australia?	Canguro	¿Quién inventó la imprenta?	Gutenberg	¿Qué océano es el más profundo?	Pacífico	¿Es la educación más importante que la riqueza?	Sí
¿Cuántos hemisferios tiene el cerebro?	Dos	¿Cuál es la moneda de Japón?	Yen	¿Qué animal es conocido como el rey de la selva?	León	¿Qué órgano produce la insulina?	Páncreas	¿Qué país tiene más pirámides que Egipto?	Sudán	¿Quién fue el primer presidente de EE.UU.?	Washington	¿Debe la humanidad buscar vida extraterrestre?	Sí
¿Cuántos músculos tiene el cuerpo humano?	Más de 600	¿Quién escribió "El Principito"?	Saint-Exupéry	¿Qué color tiene el agua del mar?	Azul	¿Qué planeta tiene la luna más grande del sistema solar?	Júpiter	¿Cuál es la capital de Francia?	París	¿Qué es un tsunami?	Onda gigante	¿Es el amor una decisión o un sentimiento?	Ambas
¿Cuántos dedos tiene un ser humano en total?	20	¿Cuál es el elemento más abundante en el universo?	Hidrógeno	¿Cuántos huesos tiene una jirafa?	206 (igual que los humanos)	¿Qué océano separa América de Europa?	Atlántico	¿Cuál es el país más grande del mundo?	Rusia	¿Quién escribió "1984"?	George Orwell	¿Debe haber límites en la ciencia?	Depende
¿Qué animal tiene la mordida más fuerte del mundo?	Cocodrilo	¿Cuál es el metal más ligero?	Litio	¿En qué año comenzó la Primera Guerra Mundial?	1914	¿Qué planeta es conocido como el "Planeta Rojo"?	Marte	¿Quién escribió "Don Quijote de la Mancha"?	Cervantes	¿Cuál es el país con más medallas olímpicas?	EE.UU.	¿Es el destino real o una ilusión?	Ilusión
¿Cuántos corazones tiene un pulpo?	Tres	¿Qué gas compone la mayor parte del aire?	Nitrógeno	¿Cuál es la ciudad más poblada del mundo?	Tokio	¿Cuántos tentáculos tiene un calamar?	Diez	¿Cuál es la raíz cuadrada de 144?	12	¿Quién fue el primer emperador de Roma?	Augusto	¿Es posible viajar más rápido que la luz?	No
¿Cuál es el mamífero más pequeño del mundo?	Murciélago abejorro	¿Qué sustancia da color al cabello?	Melanina	¿Cuántas lunas tiene Marte?	Dos	¿Cuál es el animal terrestre más rápido?	Guepardo	¿Qué planeta tiene un día más largo que su año?	Venus	¿Quién pintó "La última cena"?	Da Vinci	¿Debe la humanidad buscar vida en otros planetas?	Sí
¿Qué océano es el más grande?	Pacífico	¿Qué instrumento mide los terremotos?	Sismógrafo	¿Qué país tiene el himno nacional más largo?	Grecia	¿Cuántos anillos tiene Saturno?	Miles	¿Qué metal es mejor conductor de electricidad?	Plata	¿Cuál es el ave más veloz del mundo?	Halcón peregrino	¿Es la inteligencia artificial una amenaza?	Depende
¿Cuántos colores tiene un cubo de Rubik estándar?	Seis	¿Qué animal puede vivir más de 200 años?	Tortuga de las Galápagos	¿Qué gas usan las plantas para respirar?	CO₂	¿Cuál es la capital de Canadá?	Ottawa	¿Cuántos huesos tiene un bebé al nacer?	270	¿Cuál es el desierto más grande del mundo?	Antártico	¿Debe haber un límite en la ciencia?	Depende
¿Cuál es el órgano más grande del cuerpo humano?	La piel	¿Cuántas patas tiene una araña?	Ocho	¿Qué gas es esencial para la respiración humana?	Oxígeno	¿Qué país tiene la Torre Eiffel?	Francia	¿Cuál es el metal más conductor de electricidad?	Plata	¿Cómo se llama la hormona del estrés?	Cortisol	¿Podrían los humanos vivir en Marte algún día?	Con tecnología avanzada, sí
¿Qué planeta tiene un día más largo que su año?	Venus	¿Cuál es la arteria principal del cuerpo humano?	Aorta	¿Quién escribió "Romeo y Julieta"?	William Shakespeare	¿Qué animal es conocido por su memoria excepcional?	Elefante	¿Cómo se llama el proceso de convertir agua en vapor?	Evaporación	¿Cuál es la sustancia más dura conocida?	Diamante	¿Es posible la inteligencia artificial consciente?	Aún no, pero es un debate abierto
¿Cuál es el desierto más grande del mundo?	Antártico	¿Cómo se llama la unidad de medida de la corriente eléctrica?	Amperio	¿Cuál es el país más grande del mundo por territorio?	Rusia	¿Qué hueso protege el cerebro?	Cráneo	¿Cuál es la función de los riñones?	Filtrar desechos de la sangre	¿Cómo se llaman los planetas fuera del sistema solar?	Exoplanetas	¿Podría existir vida basada en otro elemento que no sea el carbono?	En teoría, basada en silicio
¿Cuántos ojos tiene una mosca común?	Cinco	¿Qué estrella es el centro del sistema solar?	El Sol	¿Cuál es el océano más grande del mundo?	Pacífico	¿Qué ciudad es conocida como "La Gran Manzana"?	Nueva York	¿Cómo se llama el tejido que conecta los músculos con los huesos?	Tendón	¿Qué invento permitió la revolución industrial?	Máquina de vapor	¿Podrían los humanos fusionarse con la tecnología en el futuro?	Probablemente, con avances en biohacking
¿Qué animal puede dormir con un ojo abierto?	Delfín	¿Qué gas es el más abundante en la atmósfera terrestre?	Nitrógeno	¿Cuántos cromosomas tiene un humano?	46 (23 pares)	¿Quién pintó "La última cena"?	Leonardo da Vinci	¿Qué significa "ADN"?	Ácido desoxirribonucleico	¿Cuál es el único mamífero capaz de volar?	Murciélago	¿Podría la humanidad alcanzar la inmortalidad biológica?	Con avances genéticos, es posible
¿Cuál es el hueso más largo del cuerpo humano?	Fémur	¿Qué es la mitocondria en una célula?	La central energética de la célula	¿Qué país tiene más pirámides que Egipto?	Sudán	¿Cuántos lados tiene un dodecágono?	Doce	¿Cómo se llama la ciencia que estudia los fósiles?	Paleontología	¿Cuál es el animal terrestre más grande del mundo?	Elefante africano	¿Es posible la terraformación de Marte?	Teóricamente, pero requiere tecnología avanzada
¿Qué gas hace burbujas en los refrescos?	Dióxido de carbono (CO₂)	¿Cuántos dientes tiene un adulto humano?	32	¿Qué científico propuso la teoría de la relatividad?	Albert Einstein	¿Qué parte de la planta absorbe el agua?	Raíces	¿Cuál es el país con más idiomas oficiales?	India	¿Cómo se llama el efecto por el cual la luz se curva en la gravedad?	Lente gravitacional	¿Podrían los humanos crear un agujero de gusano artificial?	No con nuestra tecnología actual
¿Cómo se llama el proceso por el cual las plantas fabrican su alimento?	Fotosíntesis	¿Cuál es el continente con más países?	África	¿Qué animal tiene la lengua más larga en proporción a su cuerpo?	Camaleón	¿Qué animal puede regenerar su corazón?	Axolote	¿Qué metal se usa principalmente en los cables eléctricos?	Cobre	¿Cuál es el órgano encargado del equilibrio en el cuerpo?	Oído interno	¿Es posible que existan formas de vida sin agua?	No como la conocemos, pero en teoría sí
¿Cuál es el animal más venenoso del mundo?	Medusa caja	¿Cuántos colores hay en un arcoíris?	Siete	¿Qué metal es líquido a temperatura ambiente?	Mercurio	¿Qué parte del cuerpo humano nunca deja de crecer?	Orejas y nariz	¿Cómo se llama la nave espacial que llevó al primer humano a la Luna?	Apollo 11	¿Cuál es el país con más volcanes activos?	Indonesia	¿Podría la inteligencia artificial superar a la humana en creatividad?	Es difícil, pero no imposible
¿Qué planeta tiene el mayor volcán del sistema solar?	Marte (Monte Olimpo)	¿Cómo se llama la línea que divide el planeta en hemisferios norte y sur?	Ecuador	¿Cuántos corazones tiene un pulpo?	Tres	¿Qué instrumento mide la velocidad del viento?	Anemómetro	¿Cuál es el lago más profundo del mundo?	Lago Baikal	¿Cuál es el órgano más pesado del cuerpo humano?	Hígado	¿Es posible la comunicación telepática con la tecnología?	Se están desarrollando interfaces cerebro-máquina
¿Equipo con más títulos en Liga MX?	América	¿Actor de "No se aceptan devoluciones"?	Eugenio Derbez	¿Equipo con más Champions League?	Real Madrid	¿Película más taquillera de Marvel?	Avengers: Endgame	¿Animal terrestre más rápido?	Guepardo	¿País en conflicto con Rusia?	Ucrania	¿Qué es el efecto Mandela?	Recuerdos falsos compartidos
